token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
1139932,RECLTD26JUL365PE,RECLTD,30JUL2026,36500.000000,1575,OPTSTK,BFO,5.000000,160000
1149945,MARICO26JUL760CE,MARICO,30JUL2026,76000.000000,1200,OPTSTK,BFO,5.000000,48000
1149947,INOXWIND26JUL99CE,INOXWIND,30JUL2026,9900.000000,6400,OPTSTK,BFO,5.000000,100000000
1149949,DIXON26JUL11200PE,DIXON,30JUL2026,1120000.000000,50,OPTSTK,BFO,5.000000,6000
1149952,AUBANK26JUL990CE,AUBANK,30JUL2026,99000.000000,1000,OPTSTK,BFO,5.000000,30000
1154159,MARICO26JUL825CE,MARICO,30JUL2026,82500.000000,1200,OPTSTK,BFO,5.000000,48000
1154160,PNB26JUL101CE,PNB,30JUL2026,10100.000000,8000,OPTSTK,BFO,5.000000,480000
1154169,BANKEX26JUL54500CE,BANKEX,30JUL2026,5450000.000000,30,OPTIDX,BFO,5.000000,900
1154173,BAJAJHLDNG26JUN11200PE,BAJAJHLDNG,25JUN2026,1120000.000000,50,OPTSTK,BFO,5.000000,100000000
1123576,ALKEM26JUN4800PE,ALKEM,25JUN2026,480000.000000,125,OPTSTK,BFO,5.000000,8000
1123603,SRF26JUN2260CE,SRF,25JUN2026,226000.000000,200,OPTSTK,BFO,5.000000,11250
1123605,TECHM26JUN1620CE,TECHM,25JUN2026,162000.000000,600,OPTSTK,BFO,5.000000,24000
1123642,COFORGE26JUN1380PE,COFORGE,25JUN2026,138000.000000,375,OPTSTK,BFO,5.000000,6000
1139933,SENSEX26JUL74800CE,SENSEX,30JUL2026,7480000.000000,20,OPTIDX,BFO,5.000000,1000
1139964,SWIGGY26JUL260PE,SWIGGY,30JUL2026,26000.000000,1825,OPTSTK,BFO,5.000000,100000000
1139974,NAM-INDIA26JUN980PE,NAM-INDIA,25JUN2026,98000.000000,625,OPTSTK,BFO,5.000000,100000000
1139978,SENSEX5026JUL25800CE,SENSEX50,30JUL2026,2580000.000000,75,OPTIDX,BFO,5.000000,1800
1149978,HEROMOTOCO26JUL5300PE,HEROMOTOCO,30JUL2026,530000.000000,150,OPTSTK,BFO,5.000000,9000
1149998,IRFC26JUL98PE,IRFC,30JUL2026,9800.000000,5425,OPTSTK,BFO,5.000000,100000000
1150009,JUBLFOOD26JUL475PE,JUBLFOOD,30JUL2026,47500.000000,1250,OPTSTK,BFO,5.000000,50000
1150018,JSWENERGY26JUL595CE,JSWENERGY,30JUL2026,59500.000000,1075,OPTSTK,BFO,5.000000,100000000
1154214,PAGEIND26JUL39250CE,PAGEIND,30JUL2026,3925000.000000,20,OPTSTK,BFO,5.000000,600
1154260,CAMS26JUL870CE,CAMS,30JUL2026,87000.000000,825,OPTSTK,BFO,5.000000,100000000
