token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
130762,PERSISTENT28JUL265300CE,PERSISTENT,28JUL2026,530000.000000,125,OPTSTK,NFO,5.000000,5001
130769,OBEROIRLTY28JUL261500PE,OBEROIRLTY,28JUL2026,150000.000000,350,OPTSTK,NFO,5.000000,14001
130774,PERSISTENT28JUL265700CE,PERSISTENT,28JUL2026,570000.000000,125,OPTSTK,NFO,5.000000,5001
130778,PERSISTENT28JUL265900CE,PERSISTENT,28JUL2026,590000.000000,125,OPTSTK,NFO,5.000000,5001
130779,PERSISTENT28JUL265900PE,PERSISTENT,28JUL2026,590000.000000,125,OPTSTK,NFO,5.000000,5001
130844,OBEROIRLTY28JUL261780CE,OBEROIRLTY,28JUL2026,178000.000000,350,OPTSTK,NFO,5.000000,14001
130875,PETRONET30JUN26302.5PE,PETRONET,30JUN2026,30250.000000,1900,OPTSTK,NFO,5.000000,76001
131026,PETRONET28JUL26245PE,PETRONET,28JUL2026,24500.000000,1900,OPTSTK,NFO,5.000000,76001
131028,PETRONET28JUL26250PE,PETRONET,28JUL2026,25000.000000,1900,OPTSTK,NFO,5.000000,76001
131051,IRFC30JUN2686CE,IRFC,30JUN2026,8600.000000,4250,OPTSTK,NFO,1.000000,217001
131052,IRFC30JUN2686PE,IRFC,30JUN2026,8600.000000,4250,OPTSTK,NFO,1.000000,217001
131053,IRFC30JUN2688CE,IRFC,30JUN2026,8800.000000,4250,OPTSTK,NFO,1.000000,217001
131071,IRFC30JUN2690CE,IRFC,30JUN2026,9000.000000,4250,OPTSTK,NFO,1.000000,217001
131081,IRFC30JUN26100CE,IRFC,30JUN2026,10000.000000,4250,OPTSTK,NFO,1.000000,217001
131093,IRFC30JUN26110CE,IRFC,30JUN2026,11000.000000,4250,OPTSTK,NFO,1.000000,217001
131156,OFSS28JUL2610100CE,OFSS,28JUL2026,1010000.000000,100,OPTSTK,NFO,5.000000,3001
131185,OFSS28JUL2610700CE,OFSS,28JUL2026,1070000.000000,100,OPTSTK,NFO,5.000000,3001
131307,OFSS25AUG2610000PE,OFSS,25AUG2026,1000000.000000,100,OPTSTK,NFO,5.000000,3001
131312,OFSS25AUG2610600CE,OFSS,25AUG2026,1060000.000000,100,OPTSTK,NFO,5.000000,3001
131320,OFSS25AUG2610800PE,OFSS,25AUG2026,1080000.000000,100,OPTSTK,NFO,5.000000,3001
131322,OFSS25AUG2611000PE,OFSS,25AUG2026,1100000.000000,100,OPTSTK,NFO,5.000000,3001
131324,OFSS25AUG2611200CE,OFSS,25AUG2026,1120000.000000,100,OPTSTK,NFO,5.000000,3001
131408,PFC30JUN26445PE,PFC,30JUN2026,44500.000000,1300,OPTSTK,NFO,5.000000,52001
131411,PFC30JUN26465CE,PFC,30JUN2026,46500.000000,1300,OPTSTK,NFO,5.000000,52001
131420,PFC30JUN26495CE,PFC,30JUN2026,49500.000000,1300,OPTSTK,NFO,5.000000,52001
131559,ITC30JUN26267PE,ITC,30JUN2026,26700.000000,1600,OPTSTK,NFO,5.000000,86251
131561,ITC30JUN26272PE,ITC,30JUN2026,27200.000000,1600,OPTSTK,NFO,5.000000,86251
131562,ITC30JUN26277CE,ITC,30JUN2026,27700.000000,1600,OPTSTK,NFO,5.000000,86251
131576,ITC30JUN26312CE,ITC,30JUN2026,31200.000000,1600,OPTSTK,NFO,5.000000,86251
131577,ITC30JUN26312PE,ITC,30JUN2026,31200.000000,1600,OPTSTK,NFO,5.000000,86251
131609,ITC30JUN26347CE,ITC,30JUN2026,34700.000000,1600,OPTSTK,NFO,5.000000,86251
131645,PFC28JUL26420CE,PFC,28JUL2026,42000.000000,1300,OPTSTK,NFO,5.000000,52001
131646,PFC28JUL26420PE,PFC,28JUL2026,42000.000000,1300,OPTSTK,NFO,5.000000,52001
131657,PFC28JUL26470CE,PFC,28JUL2026,47000.000000,1300,OPTSTK,NFO,5.000000,52001
131667,PFC28JUL26520CE,PFC,28JUL2026,52000.000000,1300,OPTSTK,NFO,5.000000,52001
